epoch,loss,val_loss
0,3.385153380158829,2.2858539835066245
1,2.3433422236001653,2.084303797570421
2,2.2150264641601747,2.1478605122013663
3,2.1697267969585443,2.081283841521955
4,2.081305402598969,2.130844775187611
5,2.111147025064246,1.9848013886054698
6,2.0397700206057667,2.0071400664906647
7,2.0206557600057287,1.9678733430706892
8,1.9854059631693852,1.944842496910832
9,1.9735319369459805,1.9795830474902631
10,1.9740769787602228,1.8880182850002731
11,1.9475189616827115,1.8682600047455324
12,1.8978066895514318,1.8682427751659836
13,1.9005373620415387,1.859770921678502
14,1.88478211793181,1.8632070222637684
15,1.8816225810410225,1.8452695654185545
16,1.877115419262076,1.845113342923668
17,1.8751488258577373,1.8303091369984998
18,1.866855141030599,1.8649238910797838
19,1.8634004392852521,1.8538794530307787
20,1.8353806758580142,1.8456994116050491
21,1.8409067533195835,1.8543319996334453
22,1.8335990381159195,1.8297597668713255
23,1.8184392376713556,1.7919222978563267
24,1.8012595484926277,1.8288670678507104
25,1.8237867265531462,1.8038353523471324
26,1.8123637668482244,1.8373017195979924
27,1.8208744440176716,1.8345942264462745
28,1.8040695543566796,1.840634916217542
29,1.8141349260121176,1.8440687464542143
30,1.7810543448957679,1.7969855801741965
31,1.7767030851889962,1.844784808772828
32,1.778317727862972,1.8281589232289228
33,1.7872984309310782,1.7916551370477471
34,1.772781807061744,1.8128637147052094
35,1.7666004830843782,1.8015995816099797
36,1.773870901498076,1.8374730931842786
37,1.7931253405874723,1.766954211973837
38,1.76544515523192,1.8196813249281036
39,1.7479944755769756,1.7839435796880927
40,1.762165146127139,1.8042885768567032
41,1.780124843120575,1.7842428172606768
42,1.7668685898797152,1.8571625940277852
43,1.777713618458134,1.8085856061636634
44,1.753648824479482,1.7803800448839244
45,1.772073266032624,1.8452514798856088
46,1.7574028852459502,1.8544366679478101
47,1.7328488808380413,1.7876703020329128
48,1.72636427475165,1.7265191323767404
49,1.687532950754035,1.7115949474179182
50,1.6687025785037917,1.7057428595334163
51,1.6598671197074732,1.7059729562296888
52,1.651700642419188,1.7186561004286671
53,1.647680668594086,1.7161360935591832
54,1.6408407547294277,1.7143877414674717
55,1.6361009158092001,1.70926934148109
